Mag,Phase,W
2.000725216142671,-0.2866914393000212,0.01
2.000991078664222,-0.33521956414308063,0.011689518164985781
2.0013544599913997,-0.3920010517626877,0.013664483492953258
2.001851177239765,-0.4584628943393153,0.01597312280060254
2.002530243427412,-0.5362926905425284,0.018671810912919196
2.003458764618759,-0.6274944001375194,0.02182644728397487
2.004728685203988,-0.7344606036147966,0.025514065200312887
2.0064661053864032,-0.8600683849578752,0.02982471286216891
2.0088442014477836,-1.0078098609664847,0.03486365227678084
2.0121012347366234,-1.1819747004534524,0.04075392965871778
2.016565827186574,-1.3879123384764518,0.047639380104013404
2.022692760012567,-1.6324188381206803,0.0556881399094527
2.0311142844551804,-1.924322585744625,0.0650967523045817
2.0427148050461468,-2.2753936649695596,0.07609496685459875
2.058741720507814,-2.7017919638093937,0.08895134973108236
2.0747102204709407,-3.0844578278617454,0.1
2.080973955298834,-3.2264351204282327,0.103979841848149
2.111985819131841,-3.8829855192584484,0.12154742500762866
2.155574536126416,-4.722794485093891,0.14208308325339222
2.217480190107876,-5.827497960653471,0.16608827826277156
2.30664791264535,-7.333023764062955,0.19414919457438806
2.437519126372551,-9.478202408439973,0.22695105366946683
2.4393397981429374,-9.507902285000236,0.22735703221145803
2.6091503572491477,-12.294143879057206,0.26093099534007036
2.8205169160608667,-15.87361795943902,0.2943172914218352
3.0745028123370868,-20.455077341181536,0.3269835487356938
3.3648422525364006,-26.256281676487465,0.3584957773941757
3.6715451044381906,-33.445424216273196,0.38852056377958966
3.9552783741051094,-42.02944261388115,0.41681997750682687
4.161454434751344,-51.71708356024997,0.4432417873860179
4.242640687119286,-61.874494297944274,0.4677071733467426
4.168388231819347,-73.15289593655143,0.4935229624671901
3.868000665788687,-86.26288790478534,0.5248068993919975
3.3319884441451975,-99.73347791763953,0.5630332610247583
2.6734033028768724,-111.76004305500987,0.6101884981464606
2.0368818214922992,-121.25377618933243,0.6689939015152692
1.5028307007124018,-128.04608194183317,0.7432454917725946
1.086532924499139,-132.42109502996013,0.8383442515708182
0.7735733972777369,-134.7149154780191,0.9621431009732174
0.7071067811865476,-135.0,1.0
0.5937499766703991,-135.2143586448265,1.0808712503950972
0.5933769301192788,-135.21435595109824,1.0811807510766078
0.42740150303353935,-134.5121233141913,1.2638482029342986
0.31592630429049523,-132.72789004457218,1.4773776525985112
0.23879998694742707,-130.21084065086694,1.7269832906594342
0.18411901913793918,-127.21681937013442,2.018760254679039
0.14451036157336514,-123.95252980146729,2.359833466782194
0.11523918074814671,-120.58963489567113,2.758531617629184
0.09318479468036969,-117.2665953301272,3.2245905452963948
0.07625258169523644,-114.08769166928542,3.7693909753883594
0.06301778523259985,-111.12377715330405,4.406236427773573
0.052500347236213045,-108.41591644736229,5.150678076168122
0.04401831142614373,-105.98111207701587,6.020894493336131
0.03709077316335468,-103.81871072381698,7.0381355549315545
0.03137316713860815,-101.9163281747348,8.227241341700465
0.02661403764023225,-100.25466925772663,9.617248711152964
0.025550971563147888,-99.87424857667848,10.0
0.022626154533052705,-98.81108768683093,11.242100350620863
0.01926719263245853,-97.56201069798304,13.141473626117566
0.01642676007008487,-96.48446600191045,15.36174946671828
0.014017626305794985,-95.55695796882836,17.957144943716408
0.011969723912395867,-94.75990208265237,20.991037201085547
0.010225985219098982,-94.07577616942031,24.537511066398167
0.008739398894439327,-93.48910036288711,28.683168133420118
0.0074708848291582435,-92.9863209250535,33.529241492495565
0.006387724901854664,-92.55564623310576,39.194067748472214
0.005462377570210252,-92.18686477798894,45.815976690544915
0.004671562700897163,-91.87116278831482,53.55666917706897
0.003995540874292076,-91.6009512420633,62.605165720148214
0.003417535925358921,-91.36970713130022,73.18242219076174
0.00292326546738085,-91.1718308821677,85.54672535565685
0.0025005546494598044,-91.00252010675342,100.0
